class_number; class_duration_minutes; class_description; total_hours_to_this_point; course_percentage_to_this_point; 
464; 9;  Tokens and Coins: What are they and how are they used?; 58hr 7min; 87.17 %; 
465; 6;  Download and Configure the Skeleton Project; 58hr 13min; 87.33 %; 
466; 20;  Using Motoko Hashmaps to Store Token Balances; 58hr 33min; 87.83 %; 
467; 14;  Showing the User's Token Balance on the Frontend; 58hr 47min; 88.17 %; 
468; 15;  Creating the Faucet Functionality Using the Shared Keyword; 59hr 2min; 88.55 %; 
469; 21;  Creating the Transfer Functionality; 59hr 23min; 89.08 %; 
470; 7;  Using the Transfer Functionality in the Faucet; 59hr 30min; 89.25 %; 
471; 16;  Persisting Non-Stable Types Using the Pre- and Postupgrade Methods; 59hr 46min; 89.65 %; 
472; 6;  What is the Internet Identity?; 59hr 52min; 89.8 %; 
473; 8;  Authenticating with the Internet Identity; 60hr; 90 %; 
474; 18;  [Optional] Live Deployment to Test Internet Identity Authentication; 60hr 18min; 90.45 %; 
475; 10;  What You'll Build - A Website to Mint, Buy and Sell NFTs; 60hr 28min; 90.7 %; 
476; 17;  Minting NFTs; 60hr 45min; 91.12 %; 
477; 20;  Viewing the NFT on the Frontend; 61hr 5min; 91.62 %; 
478; 31;  Enabling the Minting Functionality on the Frontend; 61hr 36min; 92.4 %; 
479; 37;  Displaying Owned NFTs Using the React Router; 62hr 13min; 93.33 %; 
480; 34;  Listing NFTs for Sale; 62hr 47min; 94.17 %; 
481; 11;  Styling the Listed NFTs; 62hr 58min; 94.45 %; 
482; 23;  Creating the "Discover" Page; 63hr 21min; 95.03 %; 
483; 32;  Buying NFTs; 63hr 53min; 95.83 %; 
484; 1;  Join the $6 Million Dollar Supernova Hackathon; 63hr 54min; 95.85 %; 
485; 40;  AAA 1 - How to Soak in Programming Concepts and more...; 64hr 34min; 96.85 %; 
486; 39;  AAA 2 - Schedule for Learning to Code and more...; 65hr 13min; 97.82 %; 
487; 25;  AAA 3 - How to Start Freelancing and more...; 65hr 38min; 98.45 %; 
488; 60;  AAA 4 - The Live AMA; 66hr 38min; 99.95 %; 
489; 1;  Vote for the Next Module!; 66hr 39min; 99.98 %; 
490; 1;  Bonus Lecture; 66hr 40min; 100 %; 
